date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:45	11943/11943	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:45%20GMT	https://ldsguarding.in/assets/img/service-img/government.png	D:/website/security%20gurd/ldsguarding.in/assets/img/service-img/government.png	(from https://ldsguarding.in/)
21:59:46	43232/43232	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:45%20GMT	https://ldsguarding.in/industries/infrastructure	D:/website/security%20gurd/ldsguarding.in/industries/infrastructure.html	(from https://ldsguarding.in/)
21:59:46	11027/11027	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:46%20GMT	https://ldsguarding.in/assets/img/service-img/infra.png	D:/website/security%20gurd/ldsguarding.in/assets/img/service-img/infra.png	(from https://ldsguarding.in/)
21:59:46	40991/40991	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:46%20GMT	https://ldsguarding.in/industries/residential	D:/website/security%20gurd/ldsguarding.in/industries/residential.html	(from https://ldsguarding.in/)
21:59:46	8835/8835	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:46%20GMT	https://ldsguarding.in/assets/img/service-img/residential.png	D:/website/security%20gurd/ldsguarding.in/assets/img/service-img/residential.png	(from https://ldsguarding.in/)
21:59:47	55378/55378	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:46%20GMT	https://ldsguarding.in/industries/industrial	D:/website/security%20gurd/ldsguarding.in/industries/industrial.html	(from https://ldsguarding.in/)
21:59:47	10980/10980	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:47%20GMT	https://ldsguarding.in/assets/img/service-img/industrial.png	D:/website/security%20gurd/ldsguarding.in/assets/img/service-img/industrial.png	(from https://ldsguarding.in/)
21:59:47	44514/44514	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:47%20GMT	https://ldsguarding.in/industries/retail	D:/website/security%20gurd/ldsguarding.in/industries/retail.html	(from https://ldsguarding.in/)
21:59:48	13159/13159	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:47%20GMT	https://ldsguarding.in/assets/img/service-img/retail.png	D:/website/security%20gurd/ldsguarding.in/assets/img/service-img/retail.png	(from https://ldsguarding.in/)
21:59:48	40790/40790	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:48%20GMT	https://ldsguarding.in/industries/ngo	D:/website/security%20gurd/ldsguarding.in/industries/ngo.html	(from https://ldsguarding.in/)
21:59:48	15727/15727	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:48%20GMT	https://ldsguarding.in/assets/img/service-img/ngo.png	D:/website/security%20gurd/ldsguarding.in/assets/img/service-img/ngo.png	(from https://ldsguarding.in/)
21:59:48	38038/38038	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:48%20GMT	https://ldsguarding.in/our-team	D:/website/security%20gurd/ldsguarding.in/our-team.html	(from https://ldsguarding.in/)
21:59:49	68675/68675	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:48%20GMT	https://ldsguarding.in/training	D:/website/security%20gurd/ldsguarding.in/training.html	(from https://ldsguarding.in/)
21:59:49	49364/49364	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:49%20GMT	https://ldsguarding.in/gallery	D:/website/security%20gurd/ldsguarding.in/gallery.html	(from https://ldsguarding.in/)
21:59:49	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Feb%202025%2016:29:49%20GMT	https://ldsguarding.in/blog	D:/website/security%20gurd/ldsguarding.in/blog	(from https://ldsguarding.in/)
21:59:49	34190/34190	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:49%20GMT	https://ldsguarding.in/contact	D:/website/security%20gurd/ldsguarding.in/contact.html	(from https://ldsguarding.in/)
21:59:50	99392/99392	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:49%20GMT	https://ldsguarding.in/blog/	D:/website/security%20gurd/ldsguarding.in/blog/index.html	(from https://ldsguarding.in/)
21:59:50	63206/63206	---M--	200	added ('OK')	image/webp	etag:%22f6e6-668f955f-9bd39942d905dccc;;;%22	https://ldsguarding.in/assets/img/banner/lds-banner-1.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/lds-banner-1.webp	(from https://ldsguarding.in/)
21:59:50	51548/51548	---M--	200	added ('OK')	image/webp	etag:%22c95c-668f955f-c6d1b09dee7587b3;;;%22	https://ldsguarding.in/assets/img/banner/lds-banner-2.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/lds-banner-2.webp	(from https://ldsguarding.in/)
21:59:51	57752/57752	---M--	200	added ('OK')	image/webp	etag:%22e198-668f9561-49f1539f0cb9bdaf;;;%22	https://ldsguarding.in/assets/img/banner/lds-banner-5.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/lds-banner-5.webp	(from https://ldsguarding.in/)
21:59:51	59660/59660	---M--	200	added ('OK')	image/webp	etag:%22e90c-668f955f-50a29375d9defe83;;;%22	https://ldsguarding.in/assets/img/banner/lds-banner-4.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/lds-banner-4.webp	(from https://ldsguarding.in/)
21:59:51	31126/31126	---M--	200	added ('OK')	image/webp	etag:%227996-668f9561-7fc0c8e1f67f891f;;;%22	https://ldsguarding.in/assets/img/banner/mobViewBan-1.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/mobViewBan-1.webp	(from https://ldsguarding.in/)
21:59:51	19318/19318	---M--	200	added ('OK')	image/webp	etag:%224b76-668f9562-ee8b995cc1dc85d7;;;%22	https://ldsguarding.in/assets/img/banner/mobViewBan-2.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/mobViewBan-2.webp	(from https://ldsguarding.in/)
21:59:51	27090/27090	---M--	200	added ('OK')	image/webp	etag:%2269d2-668f9562-9f5ed1efc99a518;;;%22	https://ldsguarding.in/assets/img/banner/mobViewBan-3.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/mobViewBan-3.webp	(from https://ldsguarding.in/)
21:59:51	26438/26438	---M--	200	added ('OK')	image/webp	etag:%226746-668f9562-a8707fc29b4f7dbe;;;%22	https://ldsguarding.in/assets/img/banner/mobViewBan-4.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/banner/mobViewBan-4.webp	(from https://ldsguarding.in/)
21:59:52	2204/2204	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:52%20GMT	https://ldsguarding.in/assets/img/guard.png	D:/website/security%20gurd/ldsguarding.in/assets/img/guard.png	(from https://ldsguarding.in/)
21:59:52	2927/2927	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:52%20GMT	https://ldsguarding.in/assets/img/supervisor.png	D:/website/security%20gurd/ldsguarding.in/assets/img/supervisor.png	(from https://ldsguarding.in/)
21:59:52	3520/3520	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:52%20GMT	https://ldsguarding.in/assets/img/pso.png	D:/website/security%20gurd/ldsguarding.in/assets/img/pso.png	(from https://ldsguarding.in/)
21:59:52	3407/3407	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:52%20GMT	https://ldsguarding.in/assets/img/bouncer.png	D:/website/security%20gurd/ldsguarding.in/assets/img/bouncer.png	(from https://ldsguarding.in/)
21:59:53	3236/3236	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:52%20GMT	https://ldsguarding.in/assets/img/gunman.png	D:/website/security%20gurd/ldsguarding.in/assets/img/gunman.png	(from https://ldsguarding.in/)
21:59:53	2522/2522	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:53%20GMT	https://ldsguarding.in/assets/img/fire.png	D:/website/security%20gurd/ldsguarding.in/assets/img/fire.png	(from https://ldsguarding.in/)
21:59:53	3855/3855	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:53%20GMT	https://ldsguarding.in/assets/img/aso.png	D:/website/security%20gurd/ldsguarding.in/assets/img/aso.png	(from https://ldsguarding.in/)
21:59:53	2255/2255	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:53%20GMT	https://ldsguarding.in/assets/img/cctv.png	D:/website/security%20gurd/ldsguarding.in/assets/img/cctv.png	(from https://ldsguarding.in/)
21:59:54	82598/82598	---M--	200	added ('OK')	image/webp	etag:%22142a6-668f9580-65991d48f6a15064;;;%22	https://ldsguarding.in/assets/img/guard-creative.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/guard-creative.webp	(from https://ldsguarding.in/)
21:59:54	6169/6169	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:54%20GMT	https://ldsguarding.in/assets/img/experience.png	D:/website/security%20gurd/ldsguarding.in/assets/img/experience.png	(from https://ldsguarding.in/)
21:59:54	6550/6550	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:54%20GMT	https://ldsguarding.in/assets/img/availability.png	D:/website/security%20gurd/ldsguarding.in/assets/img/availability.png	(from https://ldsguarding.in/)
21:59:54	4971/4971	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:54%20GMT	https://ldsguarding.in/assets/img/manpower.png	D:/website/security%20gurd/ldsguarding.in/assets/img/manpower.png	(from https://ldsguarding.in/)
21:59:55	98376/98376	---M--	200	added ('OK')	image/webp	etag:%2218048-66960da3-d355925dea3ea1fc;;;%22	https://ldsguarding.in/assets/img/videoThumbnail.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/videoThumbnail.webp	(from https://ldsguarding.in/)
21:59:55	52302/52302	---M--	200	added ('OK')	image/webp	etag:%22cc4e-668f9570-14c5f0145df750ca;;;%22	https://ldsguarding.in/assets/img/finance.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/finance.webp	(from https://ldsguarding.in/)
21:59:55	46870/46870	---M--	200	added ('OK')	image/webp	etag:%22b716-668f9581-bea5137f72f8fc39;;;%22	https://ldsguarding.in/assets/img/health.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/health.webp	(from https://ldsguarding.in/)
